Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
0.583,-109,-148,-62
0.584,-95,-138,-43
0.585,-134,-155,-107
0.586,-103,-132,-66
0.587,-72,-110,-26
0.588,-86,-108,-58
0.589,-91,-119,-56
0.590,-109,-140,-70
0.591,-60,-94,-19
0.592,-86,-117,-47
0.593,-78,-105,-44
0.594,-70,-98,-36
0.595,-66,-90,-37
0.596,-70,-97,-38
0.597,-67,-99,-28
0.598,-55,-95,-5
0.599,-98,-126,-62
0.600,-89,-112,-58
0.601,-84,-109,-53
0.602,-74,-100,-42
0.603,-68,-108,-20
0.604,-60,-116,4
0.605,-65,-103,-19
0.606,-69,-91,-40
0.607,-64,-89,-32
0.608,-55,-85,-19
0.609,-33,-62,0
0.610,-14,-41,7
0.611,-1,-32,13
0.612,5,-22,18
0.613,-3,-36,14
0.614,-14,-48,10
0.615,-10,-44,11
0.616,-4,-39,14
0.617,-30,-72,7
0.618,-60,-109,-6
0.619,-64,-102,-22
0.620,-69,-98,-38
0.621,-72,-105,-37
0.622,-73,-110,-34
0.623,-89,-139,-33
0.624,-102,-167,-28
0.625,-128,-178,-73
0.626,-155,-192,-116
0.627,-161,-198,-121
0.628,-166,-204,-125
0.629,-171,-203,-137
0.630,-177,-203,-150
0.631,-164,-195,-130
0.632,-151,-190,-110
0.633,-149,-187,-107
0.634,-144,-183,-102
0.635,-153,-182,-123
0.636,-162,-183,-140
0.637,-153,-177,-127
0.638,-150,-178,-119
0.639,-152,-179,-122
0.640,-155,-181,-126
0.641,-148,-179,-115
0.642,-140,-176,-101
0.643,-144,-172,-113
0.644,-144,-168,-119
0.645,-143,-168,-116
0.646,-130,-158,-100
0.647,-135,-166,-102
0.648,-142,-175,-106
0.649,-139,-174,-101
0.650,-135,-172,-94
0.651,-137,-174,-97
0.652,-132,-169,-91
0.653,-132,-166,-96
0.654,-131,-160,-99
0.655,-121,-150,-89
0.656,-112,-142,-81
0.657,-121,-146,-93
0.658,-126,-148,-102
0.659,-118,-146,-88
0.660,-111,-146,-73
0.661,-114,-145,-81
0.662,-118,-145,-89
0.663,-106,-140,-70
0.664,-97,-139,-51
0.665,-103,-138,-65
0.666,-109,-139,-78
0.667,-110,-146,-72
0.668,-113,-156,-67
0.669,-106,-143,-65
0.670,-101,-133,-66
0.671,-105,-137,-70
0.672,-109,-140,-75
0.673,-96,-128,-61
0.674,-89,-120,-55
0.675,-98,-126,-68
0.676,-102,-128,-75
0.677,-101,-128,-72
0.678,-97,-126,-68
0.679,-88,-118,-57
0.680,-78,-109,-45
0.681,-73,-105,-41
0.682,-71,-101,-39
0.683,-65,-97,-30
0.684,-52,-87,-13
0.685,-60,-97,-21
0.686,-72,-110,-31
0.687,-67,-99,-34
0.688,-63,-90,-36
0.689,-70,-97,-43
0.690,-62,-91,-33
0.691,-42,-72,-12
0.692,-27,-56,2
0.693,-45,-81,-6
0.694,-39,-87,6
0.695,-25,-61,6
0.696,-9,-36,9
0.697,-9,-38,10
0.698,-13,-46,10
0.699,-14,-48,10
0.700,-16,-52,10
0.701,-31,-74,7
0.702,-48,-98,4
0.703,-38,-80,3
0.704,-37,-68,-3
0.705,-49,-77,-19
0.706,-58,-83,-32
0.707,-68,-91,-43
0.708,-73,-95,-49
0.709,-74,-99,-46
0.710,-74,-104,-41
0.711,-78,-112,-41
0.712,-78,-116,-35
0.713,-75,-119,-27
0.714,-73,-123,-17
0.715,-73,-117,-26
0.716,-89,-125,-50
0.717,-106,-144,-63
0.718,-122,-163,-77
0.719,-117,-154,-77
0.720,-114,-145,-78
0.721,-120,-153,-83
0.722,-126,-161,-86
0.723,-125,-160,-85
0.724,-122,-157,-82
0.725,-110,-136,-80
0.726,-94,-115,-71
0.727,-82,-105,-56
0.728,-71,-97,-42
0.729,-59,-90,-26
0.730,-48,-84,-10
0.731,-51,-90,-8
0.732,-51,-94,-3
0.733,-55,-90,-17
0.734,-63,-91,-32
0.735,-66,-97,-31
0.736,-71,-107,-31
0.737,-79,-109,-45
0.738,-85,-110,-56
0.739,-81,-117,-40
0.740,-76,-125,-20
0.741,-75,-114,-31
0.742,-75,-104,-42
0.743,-103,-143,-57
0.744,-128,-180,-68
0.745,-127,-169,-78
0.746,-124,-157,-85
0.747,-120,-150,-84
0.748,-119,-146,-88
0.749,-121,-146,-91
0.750,-122,-145,-94
0.751,-119,-144,-89
0.752,-114,-142,-82
0.753,-108,-144,-66
0.754,-105,-149,-53
0.755,-104,-137,-65
0.756,-109,-131,-82
0.757,-99,-122,-71
0.758,-95,-119,-66
0.759,-84,-107,-56
0.760,-82,-104,-57
0.761,-67,-91,-38
0.762,-50,-80,-17
0.763,-69,-99,-35
0.764,-92,-122,-57
0.765,-74,-99,-43
0.766,-59,-81,-34
0.767,-59,-85,-29
0.768,-59,-91,-23
0.769,-51,-79,-19
0.770,-44,-68,-15
0.771,-28,-53,-1
0.772,-14,-39,6
0.773,-18,-51,8
0.774,-23,-65,11
0.775,-20,-51,6
0.776,-19,-42,3
0.777,-29,-64,4
0.778,-43,-93,7
0.779,-19,-59,11
0.780,-5,-35,11
0.781,-10,-39,10
0.782,-12,-41,9
0.783,-9,-38,10
0.784,-1,-31,13
0.785,1,-28,14
0.786,2,-25,15
0.787,-1,-36,15
0.788,-7,-46,14
0.789,-28,-73,9
0.790,-48,-99,4
0.791,-51,-91,-6
0.792,-58,-89,-24
0.793,-74,-116,-26
0.794,-86,-141,-23
0.795,-96,-137,-47
0.796,-106,-136,-70
0.797,-112,-141,-77
0.798,-123,-150,-89
0.799,-110,-137,-77
0.800,-103,-128,-72
0.801,-90,-116,-58
0.802,-88,-113,-57
0.803,-84,-108,-54
0.804,-81,-105,-52
0.805,-72,-100,-39
0.806,-66,-99,-28
0.807,-68,-96,-35
0.808,-70,-94,-41
0.809,-58,-87,-25
0.810,-54,-87,-16
0.811,-67,-102,-27
0.812,-75,-112,-33
0.813,-41,-92,8
0.814,-7,-74,24
0.815,-23,-76,15
0.816,-38,-78,3
0.817,-31,-65,3
0.818,-24,-54,4
0.819,-27,-62,6
0.820,-30,-71,7
0.821,-40,-85,5
0.822,-51,-100,3
0.823,-43,-92,6
0.824,-34,-81,9
0.825,-55,-98,-5
0.826,-76,-115,-29
0.827,-63,-95,-25
0.828,-48,-74,-17
0.829,-53,-81,-19
0.830,-57,-88,-19
0.831,-48,-76,-13
0.832,-35,-61,-4
0.833,-38,-70,-1
0.834,-40,-78,2
0.835,-43,-76,-3
0.836,-48,-77,-13
0.837,-50,-81,-13
0.838,-54,-86,-14
0.839,-51,-77,-18
0.840,-49,-70,-22
0.841,-49,-80,-10
0.842,-51,-94,1
0.843,-52,-81,-16
0.844,-57,-75,-34
0.845,-47,-65,-23
0.846,-36,-56,-12
0.847,-29,-52,-1
0.848,-21,-48,5
0.849,-5,-32,11
0.850,5,-16,16
0.851,-5,-33,12
0.852,-30,-58,3
0.853,-44,-83,2
0.854,-57,-106,3
0.855,-50,-86,-3
0.856,-39,-64,-6
0.857,-25,-48,2
0.858,-7,-29,8
0.859,-2,-28,12
0.860,1,-30,15
0.861,-2,-43,17
0.862,-4,-54,20
0.863,7,-29,23
0.864,15,-3,27
0.865,5,-28,20
0.866,-16,-55,11
0.867,-53,-90,-15
0.868,-93,-128,-58
0.869,-88,-128,-48
0.870,-87,-131,-40
0.871,-108,-142,-73
0.872,-129,-154,-104
0.873,-126,-153,-98
0.874,-121,-153,-90
0.875,-123,-154,-91
0.876,-122,-153,-91
0.877,-106,-151,-59
0.878,-91,-151,-26
0.879,-103,-143,-62
0.880,-118,-141,-95
0.881,-100,-133,-67
0.882,-90,-135,-43
0.883,-92,-131,-51
0.884,-93,-128,-57
0.885,-94,-127,-61
0.886,-98,-128,-67
0.887,-98,-127,-68
0.888,-92,-120,-63
0.889,-92,-121,-64
0.890,-90,-118,-61
0.891,-84,-122,-45
0.892,-74,-123,-24
0.893,-88,-122,-55
0.894,-102,-124,-82
0.895,-102,-123,-81
0.896,-100,-122,-80
0.897,-86,-111,-62
0.898,-72,-102,-42
0.899,-74,-105,-44
0.900,-74,-105,-44
0.901,-75,-103,-48
0.902,-74,-99,-50
0.903,-74,-99,-50
0.904,-72,-98,-48
0.905,-71,-96,-47
0.906,-71,-96,-48
0.907,-62,-91,-35
0.908,-55,-87,-24
0.909,-58,-90,-28
0.910,-62,-93,-31
0.911,-63,-92,-36
0.912,-61,-87,-36
0.913,-61,-91,-31
0.914,-64,-99,-29
0.915,-55,-102,-8
0.916,-46,-104,7
0.917,-74,-120,-28
0.918,-105,-140,-71
0.919,-111,-143,-79
0.920,-118,-148,-89
0.921,-107,-136,-79
0.922,-98,-126,-70
0.923,-96,-122,-72
0.924,-96,-119,-73
0.925,-89,-113,-65
0.926,-80,-106,-55
0.927,-78,-106,-50
0.928,-78,-108,-47
0.929,-58,-91,-25
0.930,-40,-75,-3
0.931,-48,-80,-14
0.932,-57,-88,-26
0.933,-65,-95,-34
0.934,-71,-100,-42
0.935,-63,-89,-35
0.936,-54,-79,-28
0.937,-36,-67,-4
0.938,-18,-57,10
0.939,-32,-61,-3
0.940,-41,-63,-19
0.941,-31,-57,-3
0.942,-22,-55,6
0.943,-19,-49,6
0.944,-13,-40,7
0.945,-23,-62,8
0.946,-32,-83,11
0.947,-16,-56,12
0.948,2,-27,14
0.949,3,-21,15
0.950,5,-17,16
0.951,8,-11,18
0.952,11,-4,21
0.953,5,-28,20
0.954,0,-50,20
0.955,4,-35,20
0.956,8,-19,21
0.957,-3,-51,19
0.958,-25,-84,16
0.959,-73,-129,-11
0.960,-116,-170,-57
0.961,-122,-167,-74
0.962,-130,-166,-92
0.963,-141,-175,-103
0.964,-150,-184,-114
0.965,-132,-167,-95
0.966,-115,-151,-75
0.967,-120,-150,-87
0.968,-121,-145,-95
0.969,-108,-129,-84
0.970,-97,-117,-76
0.971,-80,-103,-55
0.972,-63,-91,-34
0.973,-69,-102,-35
0.974,-77,-114,-38
0.975,-66,-97,-33
0.976,-54,-81,-27
0.977,-46,-75,-17
0.978,-37,-68,-5
0.979,-35,-70,1
0.980,-30,-71,6
0.981,-44,-77,-8
0.982,-56,-83,-28
0.983,-71,-107,-32
0.984,-89,-135,-40
0.985,-99,-141,-55
0.986,-109,-146,-69
0.987,-102,-135,-68
0.988,-97,-125,-68
0.989,-96,-122,-69
0.990,-92,-116,-67
0.991,-81,-108,-54
0.992,-74,-102,-45
0.993,-73,-106,-38
0.994,-75,-113,-34
0.995,-70,-103,-36
0.996,-66,-94,-38
0.997,-65,-93,-35
0.998,-64,-93,-33
0.999,-65,-96,-33
1.000,-66,-97,-32
1.001,-77,-104,-49
1.002,-88,-111,-64
1.003,-111,-137,-83
1.004,-135,-164,-104
1.005,-128,-155,-99
1.006,-121,-146,-94
1.007,-116,-143,-87
1.008,-110,-138,-79
1.009,-103,-135,-68
1.010,-96,-132,-57
1.011,-96,-126,-63
1.012,-94,-120,-68
1.013,-84,-113,-54
1.014,-72,-104,-37
1.015,-57,-100,-10
1.016,-40,-94,9
1.017,-48,-89,-4
1.018,-54,-83,-24
1.019,-61,-91,-30
1.020,-65,-96,-33
1.021,-61,-92,-28
1.022,-56,-87,-23
1.023,-62,-103,-19
1.024,-70,-120,-16
1.025,-73,-129,-11
1.026,-76,-139,-6
1.027,-71,-116,-24
1.028,-65,-92,-36
1.029,-65,-93,-36
1.030,-63,-92,-33
1.031,-78,-106,-48
1.032,-91,-120,-62
1.033,-103,-131,-73
1.034,-114,-142,-84
1.035,-125,-150,-99
1.036,-135,-157,-112
1.037,-142,-166,-116
1.038,-147,-174,-120
1.039,-129,-165,-90
1.040,-112,-160,-61
1.041,-125,-163,-84
1.042,-141,-169,-110
1.043,-141,-172,-107
1.044,-141,-174,-104
1.045,-137,-170,-101
1.046,-131,-163,-96
1.047,-127,-156,-94
1.048,-121,-148,-92
1.049,-122,-150,-92
1.050,-124,-152,-93
1.051,-124,-154,-91
1.052,-123,-155,-87
1.053,-118,-146,-87
1.054,-112,-136,-86
1.055,-116,-141,-88
1.056,-116,-143,-84
1.057,-110,-142,-73
1.058,-102,-140,-59
1.059,-90,-124,-49
1.060,-77,-110,-40
1.061,-74,-111,-32
1.062,-72,-112,-26
1.063,-62,-113,-2
1.064,-52,-114,9
1.065,-45,-90,3
1.066,-39,-67,-7
1.067,-24,-55,5
1.068,-9,-43,12
1.069,-11,-39,9
1.070,-12,-36,6
1.071,-3,-33,12
1.072,2,-33,17
1.073,-8,-48,14
1.074,-19,-62,11
1.075,-16,-54,11
1.076,-11,-46,11
1.077,-35,-81,7
1.078,-60,-117,2
1.079,-44,-92,4
1.080,-27,-67,7
1.081,-58,-89,-25
1.082,-86,-110,-60
1.083,-79,-109,-49
1.084,-73,-107,-36
1.085,-77,-105,-46
1.086,-76,-100,-51
1.087,-81,-108,-54
